"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"23 Allach - Untermenzing",22.8,93,408,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"24 Feldmoching - Hasenbergl",34.9,179,513,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2022,"25 Laim",22.9,101,441,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"Stadt München",24.4,4019,16490,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"01 Altstadt - Lehel",13.3,40,300,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"02 Ludwigsvorstadt - Isarvorstadt",22.8,130,571,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"03 Maxvorstadt",26.4,192,728,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"04 Schwabing - West",12.5,64,510,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"05 Au - Haidhausen",16.9,110,649,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"06 Sendling",20.7,76,367,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"07 Sendling - Westpark",24.7,197,799,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"08 Schwanthalerhöhe",26.6,90,338,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"09 Neuhausen - Nymphenburg",19.8,187,943,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"10 Moosach",35.1,195,555,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"11 Milbertshofen - Am Hart",27.6,184,667,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"12 Schwabing - Freimann",18.9,216,1143,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"13 Bogenhausen",23.9,282,1182,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"14 Berg am Laim",26.4,76,288,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
