"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Altersgruppen","bis 2 Jahre",2021,"15 Trudering - Riem",16.8,788,4699,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"16 Ramersdorf - Perlach",20,1465,7316,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"17 Obergiesing - Fasangarten",13.2,306,2314,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"18 Untergiesing - Harlaching",23.5,557,2368,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",21.7,1009,4655,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"20 Hadern",17.7,504,2841,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"21 Pasing - Obermenzing",20.6,894,4350,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"22 Aubing - Lochhausen - Langwied",17.1,549,3203,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"23 Allach - Untermenzing",20.9,373,1786,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"24 Feldmoching - Hasenbergl",14.8,503,3389,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2021,"25 Laim",21.4,502,2347,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2020,"Stadt München",20.4,16400,80555,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2020,"01 Altstadt - Lehel",28.9,314,1086,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2020,"02 Ludwigsvorstadt - Isarvorstadt",25.4,613,2418,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2020,"03 Maxvorstadt",27.5,777,2829,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2020,"04 Schwabing - West",21.5,488,2270,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
